feedback_id,customer_id,product,category,feedback_text,rating,sentiment,satisfaction_score,date,region,customer_type,feedback_text_cleaned,tokens,tokens_no_stopwords,tokens_lemmatized,feedback_processed
FB1011,CUST2796,Product B,Features,Poor customer service. They didn't respond to my complaints.,1,Negative,37,2024-03-20,South,Premium,poor customer service. they didnt respond to my complaints.,"['poor', 'customer', 'service', '.', 'they', 'didnt', 'respond', 'to', 'my', 'complaints', '.']","['poor', 'customer', 'service', '.', 'didnt', 'respond', 'complaints', '.']","['poor', 'customer', 'service', '.', 'didnt', 'respond', 'complaint', '.']",poor customer service . didnt respond complaint .
FB1012,CUST8668,Product E,Delivery,Bad experience. The product arrived late and broken.,2,Negative,29,2025-01-05,North,Premium,bad experience. the product arrived late and broken.,"['bad', 'experience', '.', 'the', 'product', 'arrived', 'late', 'and', 'broken', '.']","['bad', 'experience', '.', 'product', 'arrived', 'late', 'broken', '.']","['bad', 'experience', '.', 'product', 'arrived', 'late', 'broken', '.']",bad experience . product arrived late broken .
FB1013,CUST6573,Product A,Delivery,Complete waste of money. Very unsatisfied.,2,Negative,34,2024-02-25,West,New,complete waste of money. very unsatisfied.,"['complete', 'waste', 'of', 'money', '.', 'very', 'unsatisfied', '.']","['complete', 'waste', 'money', '.', 'unsatisfied', '.']","['complete', 'waste', 'money', '.', 'unsatisfied', '.']",complete waste money . unsatisfied .
FB1014,CUST2743,Product C,Features,The delivery was fast and the product is exactly as described.,4,Positive,96,2025-02-06,South,New,the delivery was fast and the product is exactly as described.,"['the', 'delivery', 'was', 'fast', 'and', 'the', 'product', 'is', 'exactly', 'as', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']",delivery fast product exactly described .
FB1015,CUST6310,Product D,Product Quality,Complete waste of money. Very unsatisfied.,1,Negative,29,2024-11-16,North,Returning,complete waste of money. very unsatisfied.,"['complete', 'waste', 'of', 'money', '.', 'very', 'unsatisfied', '.']","['complete', 'waste', 'money', '.', 'unsatisfied', '.']","['complete', 'waste', 'money', '.', 'unsatisfied', '.']",complete waste money . unsatisfied .
FB1016,CUST8962,Product A,User Experience,Outstanding customer service. They resolved my issue quickly.,4,Positive,82,2024-09-09,South,New,outstanding customer service. they resolved my issue quickly.,"['outstanding', 'customer', 'service', '.', 'they', 'resolved', 'my', 'issue', 'quickly', '.']","['outstanding', 'customer', 'service', '.', 'resolved', 'issue', 'quickly', '.']","['outstanding', 'customer', 'service', '.', 'resolved', 'issue', 'quickly', '.']",outstanding customer service . resolved issue quickly .
FB1017,CUST9645,Product E,Pricing,Very happy with my purchase. Great product!,4,Positive,88,2025-09-05,South,Premium,very happy with my purchase. great product!,"['very', 'happy', 'with', 'my', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']",happy purchase . great product !
FB1018,CUST7118,Product D,User Experience,The delivery was fast and the product is exactly as described.,5,Positive,100,2025-10-06,West,New,the delivery was fast and the product is exactly as described.,"['the', 'delivery', 'was', 'fast', 'and', 'the', 'product', 'is', 'exactly', 'as', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']",delivery fast product exactly described .
FB1019,CUST4770,Product E,Customer Service,I love this product! It's exactly what I needed.,4,Positive,98,2024-07-10,North,New,i love this product! its exactly what i needed.,"['i', 'love', 'this', 'product', '!', 'its', 'exactly', 'what', 'i', 'needed', '.']","['love', 'product', '!', 'exactly', 'needed', '.']","['love', 'product', '!', 'exactly', 'needed', '.']",love product ! exactly needed .
FB1020,CUST1514,Product C,Product Quality,Terrible experience. The product doesn't work as advertised.,1,Negative,38,2025-10-24,South,Returning,terrible experience. the product doesnt work as advertised.,"['terrible', 'experience', '.', 'the', 'product', 'doesnt', 'work', 'as', 'advertised', '.']","['terrible', 'experience', '.', 'product', 'doesnt', 'work', 'advertised', '.']","['terrible', 'experience', '.', 'product', 'doesnt', 'work', 'advertised', '.']",terrible experience . product doesnt work advertised .
FB1021,CUST8744,Product B,Pricing,Very happy with my purchase. Great product!,4,Positive,98,2025-09-15,West,New,very happy with my purchase. great product!,"['very', 'happy', 'with', 'my', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']",happy purchase . great product !
FB1022,CUST7735,Product D,Features,Five stars! The quality is superb and the price is reasonable.,5,Positive,93,2024-02-04,North,Premium,five stars! the quality is superb and the price is reasonable.,"['five', 'stars', '!', 'the', 'quality', 'is', 'superb', 'and', 'the', 'price', 'is', 'reasonable', '.']","['five', 'stars', '!', 'quality', 'superb', 'price', 'reasonable', '.']","['five', 'star', '!', 'quality', 'superb', 'price', 'reasonable', '.']",five star ! quality superb price reasonable .
FB1023,CUST7596,Product C,Product Quality,"Average experience. Some features work well, others don't.",3,Neutral,51,2025-08-30,South,New,"average experience. some features work well, others dont.","['average', 'experience', '.', 'some', 'features', 'work', 'well', ',', 'others', 'dont', '.']","['average', 'experience', '.', 'features', 'work', 'well', ',', 'others', 'dont', '.']","['average', 'experience', '.', 'feature', 'work', 'well', ',', 'others', 'dont', '.']","average experience . feature work well , others dont ."
FB1024,CUST5563,Product D,Customer Service,The delivery took too long and the product was damaged.,2,Negative,15,2024-05-12,North,Returning,the delivery took too long and the product was damaged.,"['the', 'delivery', 'took', 'too', 'long', 'and', 'the', 'product', 'was', 'damaged', '.']","['delivery', 'took', 'long', 'product', 'damaged', '.']","['delivery', 'took', 'long', 'product', 'damaged', '.']",delivery took long product damaged .
FB1025,CUST4872,Product B,Pricing,Very happy with my purchase. Great product!,4,Positive,82,2025-05-16,West,Returning,very happy with my purchase. great product!,"['very', 'happy', 'with', 'my', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']",happy purchase . great product !
FB1026,CUST7209,Product A,Pricing,"The product is okay, nothing special but does the job.",3,Neutral,55,2024-06-05,East,Returning,"the product is okay, nothing special but does the job.","['the', 'product', 'is', 'okay', ',', 'nothing', 'special', 'but', 'does', 'the', 'job', '.']","['product', 'okay', ',', 'nothing', 'special', 'job', '.']","['product', 'okay', ',', 'nothing', 'special', 'job', '.']","product okay , nothing special job ."
FB1027,CUST4111,Product C,Customer Service,Very happy with my purchase. Great product!,5,Positive,84,2024-08-18,North,Premium,very happy with my purchase. great product!,"['very', 'happy', 'with', 'my', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']",happy purchase . great product !
FB1028,CUST8811,Product E,User Experience,I love this product! It's exactly what I needed.,4,Positive,81,2025-05-08,South,New,i love this product! its exactly what i needed.,"['i', 'love', 'this', 'product', '!', 'its', 'exactly', 'what', 'i', 'needed', '.']","['love', 'product', '!', 'exactly', 'needed', '.']","['love', 'product', '!', 'exactly', 'needed', '.']",love product ! exactly needed .
FB1029,CUST2113,Product B,Pricing,Great value for money. Highly recommend to everyone!,4,Positive,99,2025-04-03,North,Premium,great value for money. highly recommend to everyone!,"['great', 'value', 'for', 'money', '.', 'highly', 'recommend', 'to', 'everyone', '!']","['great', 'value', 'money', '.', 'highly', 'recommend', 'everyone', '!']","['great', 'value', 'money', '.', 'highly', 'recommend', 'everyone', '!']",great value money . highly recommend everyone !
FB1030,CUST9565,Product C,Delivery,Very disappointed with the product quality. Not worth the price.,1,Negative,23,2024-07-09,South,Premium,very disappointed with the product quality. not worth the price.,"['very', 'disappointed', 'with', 'the', 'product', 'quality', '.', 'not', 'worth', 'the', 'price', '.']","['disappointed', 'product', 'quality', '.', 'worth', 'price', '.']","['disappointed', 'product', 'quality', '.', 'worth', 'price', '.']",disappointed product quality . worth price .
FB1031,CUST5915,Product D,Delivery,Five stars! The quality is superb and the price is reasonable.,4,Positive,100,2024-09-16,North,New,five stars! the quality is superb and the price is reasonable.,"['five', 'stars', '!', 'the', 'quality', 'is', 'superb', 'and', 'the', 'price', 'is', 'reasonable', '.']","['five', 'stars', '!', 'quality', 'superb', 'price', 'reasonable', '.']","['five', 'star', '!', 'quality', 'superb', 'price', 'reasonable', '.']",five star ! quality superb price reasonable .
FB1032,CUST9808,Product B,User Experience,The product quality is subpar and doesn't meet expectations.,1,Negative,12,2025-02-11,East,New,the product quality is subpar and doesnt meet expectations.,"['the', 'product', 'quality', 'is', 'subpar', 'and', 'doesnt', 'meet', 'expectations', '.']","['product', 'quality', 'subpar', 'doesnt', 'meet', 'expectations', '.']","['product', 'quality', 'subpar', 'doesnt', 'meet', 'expectation', '.']",product quality subpar doesnt meet expectation .
FB1033,CUST5669,Product B,Pricing,The product meets basic expectations but nothing more.,3,Neutral,61,2024-10-22,East,Premium,the product meets basic expectations but nothing more.,"['the', 'product', 'meets', 'basic', 'expectations', 'but', 'nothing', 'more', '.']","['product', 'meets', 'basic', 'expectations', 'nothing', '.']","['product', 'meet', 'basic', 'expectation', 'nothing', '.']",product meet basic expectation nothing .
FB1034,CUST2697,Product B,Delivery,Complete waste of money. Very unsatisfied.,2,Negative,39,2025-08-30,North,New,complete waste of money. very unsatisfied.,"['complete', 'waste', 'of', 'money', '.', 'very', 'unsatisfied', '.']","['complete', 'waste', 'money', '.', 'unsatisfied', '.']","['complete', 'waste', 'money', '.', 'unsatisfied', '.']",complete waste money . unsatisfied .
FB1035,CUST4335,Product C,User Experience,The delivery was fast and the product is exactly as described.,4,Positive,90,2025-05-19,West,Returning,the delivery was fast and the product is exactly as described.,"['the', 'delivery', 'was', 'fast', 'and', 'the', 'product', 'is', 'exactly', 'as', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']",delivery fast product exactly described .
FB1036,CUST1058,Product C,Customer Service,Five stars! The quality is superb and the price is reasonable.,5,Positive,81,2023-12-22,East,New,five stars! the quality is superb and the price is reasonable.,"['five', 'stars', '!', 'the', 'quality', 'is', 'superb', 'and', 'the', 'price', 'is', 'reasonable', '.']","['five', 'stars', '!', 'quality', 'superb', 'price', 'reasonable', '.']","['five', 'star', '!', 'quality', 'superb', 'price', 'reasonable', '.']",five star ! quality superb price reasonable .
FB1037,CUST2232,Product B,User Experience,Bad experience. The product arrived late and broken.,1,Negative,13,2025-01-25,North,Returning,bad experience. the product arrived late and broken.,"['bad', 'experience', '.', 'the', 'product', 'arrived', 'late', 'and', 'broken', '.']","['bad', 'experience', '.', 'product', 'arrived', 'late', 'broken', '.']","['bad', 'experience', '.', 'product', 'arrived', 'late', 'broken', '.']",bad experience . product arrived late broken .
FB1038,CUST6050,Product C,Product Quality,Bad experience. The product arrived late and broken.,1,Negative,11,2025-06-18,East,New,bad experience. the product arrived late and broken.,"['bad', 'experience', '.', 'the', 'product', 'arrived', 'late', 'and', 'broken', '.']","['bad', 'experience', '.', 'product', 'arrived', 'late', 'broken', '.']","['bad', 'experience', '.', 'product', 'arrived', 'late', 'broken', '.']",bad experience . product arrived late broken .
FB1039,CUST7658,Product E,Features,Amazing experience! The product exceeded my expectations.,5,Positive,97,2025-09-28,South,New,amazing experience! the product exceeded my expectations.,"['amazing', 'experience', '!', 'the', 'product', 'exceeded', 'my', 'expectations', '.']","['amazing', 'experience', '!', 'product', 'exceeded', 'expectations', '.']","['amazing', 'experience', '!', 'product', 'exceeded', 'expectation', '.']",amazing experience ! product exceeded expectation .
FB1040,CUST1406,Product B,Features,It's decent but could be better. Price is fair.,3,Neutral,63,2024-04-14,East,Returning,its decent but could be better. price is fair.,"['its', 'decent', 'but', 'could', 'be', 'better', '.', 'price', 'is', 'fair', '.']","['decent', 'could', 'better', '.', 'price', 'fair', '.']","['decent', 'could', 'better', '.', 'price', 'fair', '.']",decent could better . price fair .
FB1041,CUST3608,Product A,Pricing,The product meets basic expectations but nothing more.,3,Neutral,58,2025-09-15,North,Returning,the product meets basic expectations but nothing more.,"['the', 'product', 'meets', 'basic', 'expectations', 'but', 'nothing', 'more', '.']","['product', 'meets', 'basic', 'expectations', 'nothing', '.']","['product', 'meet', 'basic', 'expectation', 'nothing', '.']",product meet basic expectation nothing .
FB1042,CUST4728,Product B,Product Quality,Fantastic! Will definitely order again.,5,Positive,89,2024-06-14,South,Returning,fantastic! will definitely order again.,"['fantastic', '!', 'will', 'definitely', 'order', 'again', '.']","['fantastic', '!', 'definitely', 'order', '.']","['fantastic', '!', 'definitely', 'order', '.']",fantastic ! definitely order .
FB1043,CUST9346,Product D,Features,Amazing experience! The product exceeded my expectations.,5,Positive,91,2024-10-01,East,New,amazing experience! the product exceeded my expectations.,"['amazing', 'experience', '!', 'the', 'product', 'exceeded', 'my', 'expectations', '.']","['amazing', 'experience', '!', 'product', 'exceeded', 'expectations', '.']","['amazing', 'experience', '!', 'product', 'exceeded', 'expectation', '.']",amazing experience ! product exceeded expectation .
FB1044,CUST5349,Product A,Product Quality,Neutral feelings about this. It works but not impressive.,3,Neutral,55,2024-02-26,West,Returning,neutral feelings about this. it works but not impressive.,"['neutral', 'feelings', 'about', 'this', '.', 'it', 'works', 'but', 'not', 'impressive', '.']","['neutral', 'feelings', '.', 'works', 'impressive', '.']","['neutral', 'feeling', '.', 'work', 'impressive', '.']",neutral feeling . work impressive .
FB1045,CUST4114,Product C,Product Quality,Very happy with my purchase. Great product!,4,Positive,92,2024-09-16,West,New,very happy with my purchase. great product!,"['very', 'happy', 'with', 'my', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']",happy purchase . great product !
FB1046,CUST6967,Product D,Product Quality,"Mixed feelings. Some aspects are good, others need improvement.",3,Neutral,56,2025-04-15,East,Premium,"mixed feelings. some aspects are good, others need improvement.","['mixed', 'feelings', '.', 'some', 'aspects', 'are', 'good', ',', 'others', 'need', 'improvement', '.']","['mixed', 'feelings', '.', 'aspects', 'good', ',', 'others', 'need', 'improvement', '.']","['mixed', 'feeling', '.', 'aspect', 'good', ',', 'others', 'need', 'improvement', '.']","mixed feeling . aspect good , others need improvement ."
FB1047,CUST6067,Product D,Delivery,Poor customer service. They didn't respond to my complaints.,2,Negative,26,2024-09-16,West,Premium,poor customer service. they didnt respond to my complaints.,"['poor', 'customer', 'service', '.', 'they', 'didnt', 'respond', 'to', 'my', 'complaints', '.']","['poor', 'customer', 'service', '.', 'didnt', 'respond', 'complaints', '.']","['poor', 'customer', 'service', '.', 'didnt', 'respond', 'complaint', '.']",poor customer service . didnt respond complaint .
FB1048,CUST7211,Product B,User Experience,Terrible experience. The product doesn't work as advertised.,2,Negative,31,2024-08-28,East,Returning,terrible experience. the product doesnt work as advertised.,"['terrible', 'experience', '.', 'the', 'product', 'doesnt', 'work', 'as', 'advertised', '.']","['terrible', 'experience', '.', 'product', 'doesnt', 'work', 'advertised', '.']","['terrible', 'experience', '.', 'product', 'doesnt', 'work', 'advertised', '.']",terrible experience . product doesnt work advertised .
FB1049,CUST4443,Product D,User Experience,Neutral feelings about this. It works but not impressive.,3,Neutral,59,2025-05-14,East,Returning,neutral feelings about this. it works but not impressive.,"['neutral', 'feelings', 'about', 'this', '.', 'it', 'works', 'but', 'not', 'impressive', '.']","['neutral', 'feelings', '.', 'works', 'impressive', '.']","['neutral', 'feeling', '.', 'work', 'impressive', '.']",neutral feeling . work impressive .
FB1050,CUST2389,Product C,User Experience,Outstanding customer service. They resolved my issue quickly.,5,Positive,85,2025-01-25,East,New,outstanding customer service. they resolved my issue quickly.,"['outstanding', 'customer', 'service', '.', 'they', 'resolved', 'my', 'issue', 'quickly', '.']","['outstanding', 'customer', 'service', '.', 'resolved', 'issue', 'quickly', '.']","['outstanding', 'customer', 'service', '.', 'resolved', 'issue', 'quickly', '.']",outstanding customer service . resolved issue quickly .
FB1051,CUST1400,Product A,Customer Service,Terrible experience. The product doesn't work as advertised.,1,Negative,14,2024-06-27,West,Premium,terrible experience. the product doesnt work as advertised.,"['terrible', 'experience', '.', 'the', 'product', 'doesnt', 'work', 'as', 'advertised', '.']","['terrible', 'experience', '.', 'product', 'doesnt', 'work', 'advertised', '.']","['terrible', 'experience', '.', 'product', 'doesnt', 'work', 'advertised', '.']",terrible experience . product doesnt work advertised .
FB1052,CUST9099,Product D,Customer Service,The team was very helpful and professional.,4,Positive,92,2024-01-13,South,Premium,the team was very helpful and professional.,"['the', 'team', 'was', 'very', 'helpful', 'and', 'professional', '.']","['team', 'helpful', 'professional', '.']","['team', 'helpful', 'professional', '.']",team helpful professional .
FB1053,CUST3881,Product E,Pricing,Amazing experience! The product exceeded my expectations.,5,Positive,87,2025-10-04,North,Premium,amazing experience! the product exceeded my expectations.,"['amazing', 'experience', '!', 'the', 'product', 'exceeded', 'my', 'expectations', '.']","['amazing', 'experience', '!', 'product', 'exceeded', 'expectations', '.']","['amazing', 'experience', '!', 'product', 'exceeded', 'expectation', '.']",amazing experience ! product exceeded expectation .
FB1054,CUST3184,Product D,Features,"Average experience. Some features work well, others don't.",3,Neutral,64,2024-07-12,East,Returning,"average experience. some features work well, others dont.","['average', 'experience', '.', 'some', 'features', 'work', 'well', ',', 'others', 'dont', '.']","['average', 'experience', '.', 'features', 'work', 'well', ',', 'others', 'dont', '.']","['average', 'experience', '.', 'feature', 'work', 'well', ',', 'others', 'dont', '.']","average experience . feature work well , others dont ."
FB1055,CUST9976,Product D,Customer Service,"Mixed feelings. Some aspects are good, others need improvement.",3,Neutral,63,2025-07-19,West,Returning,"mixed feelings. some aspects are good, others need improvement.","['mixed', 'feelings', '.', 'some', 'aspects', 'are', 'good', ',', 'others', 'need', 'improvement', '.']","['mixed', 'feelings', '.', 'aspects', 'good', ',', 'others', 'need', 'improvement', '.']","['mixed', 'feeling', '.', 'aspect', 'good', ',', 'others', 'need', 'improvement', '.']","mixed feeling . aspect good , others need improvement ."
FB1056,CUST4919,Product C,Pricing,Overpriced and low quality. Would not recommend.,2,Negative,30,2024-07-22,North,Premium,overpriced and low quality. would not recommend.,"['overpriced', 'and', 'low', 'quality', '.', 'would', 'not', 'recommend', '.']","['overpriced', 'low', 'quality', '.', 'would', 'recommend', '.']","['overpriced', 'low', 'quality', '.', 'would', 'recommend', '.']",overpriced low quality . would recommend .
FB1057,CUST2320,Product B,Customer Service,I love this product! It's exactly what I needed.,5,Positive,97,2024-08-18,South,Returning,i love this product! its exactly what i needed.,"['i', 'love', 'this', 'product', '!', 'its', 'exactly', 'what', 'i', 'needed', '.']","['love', 'product', '!', 'exactly', 'needed', '.']","['love', 'product', '!', 'exactly', 'needed', '.']",love product ! exactly needed .
FB1058,CUST7678,Product C,User Experience,Outstanding customer service. They resolved my issue quickly.,4,Positive,93,2025-10-10,West,Returning,outstanding customer service. they resolved my issue quickly.,"['outstanding', 'customer', 'service', '.', 'they', 'resolved', 'my', 'issue', 'quickly', '.']","['outstanding', 'customer', 'service', '.', 'resolved', 'issue', 'quickly', '.']","['outstanding', 'customer', 'service', '.', 'resolved', 'issue', 'quickly', '.']",outstanding customer service . resolved issue quickly .
FB1059,CUST1320,Product E,Pricing,Five stars! The quality is superb and the price is reasonable.,5,Positive,98,2024-01-02,West,New,five stars! the quality is superb and the price is reasonable.,"['five', 'stars', '!', 'the', 'quality', 'is', 'superb', 'and', 'the', 'price', 'is', 'reasonable', '.']","['five', 'stars', '!', 'quality', 'superb', 'price', 'reasonable', '.']","['five', 'star', '!', 'quality', 'superb', 'price', 'reasonable', '.']",five star ! quality superb price reasonable .
FB1060,CUST9947,Product E,Customer Service,Five stars! The quality is superb and the price is reasonable.,5,Positive,97,2024-10-25,West,New,five stars! the quality is superb and the price is reasonable.,"['five', 'stars', '!', 'the', 'quality', 'is', 'superb', 'and', 'the', 'price', 'is', 'reasonable', '.']","['five', 'stars', '!', 'quality', 'superb', 'price', 'reasonable', '.']","['five', 'star', '!', 'quality', 'superb', 'price', 'reasonable', '.']",five star ! quality superb price reasonable .
FB1061,CUST7624,Product B,Pricing,Excellent product! Really satisfied with the quality and service.,5,Positive,90,2024-08-05,South,Premium,excellent product! really satisfied with the quality and service.,"['excellent', 'product', '!', 'really', 'satisfied', 'with', 'the', 'quality', 'and', 'service', '.']","['excellent', 'product', '!', 'really', 'satisfied', 'quality', 'service', '.']","['excellent', 'product', '!', 'really', 'satisfied', 'quality', 'service', '.']",excellent product ! really satisfied quality service .
FB1062,CUST8022,Product B,Pricing,Five stars! The quality is superb and the price is reasonable.,4,Positive,82,2025-04-29,South,New,five stars! the quality is superb and the price is reasonable.,"['five', 'stars', '!', 'the', 'quality', 'is', 'superb', 'and', 'the', 'price', 'is', 'reasonable', '.']","['five', 'stars', '!', 'quality', 'superb', 'price', 'reasonable', '.']","['five', 'star', '!', 'quality', 'superb', 'price', 'reasonable', '.']",five star ! quality superb price reasonable .
FB1063,CUST6529,Product D,Delivery,Outstanding customer service. They resolved my issue quickly.,5,Positive,90,2024-07-23,West,Returning,outstanding customer service. they resolved my issue quickly.,"['outstanding', 'customer', 'service', '.', 'they', 'resolved', 'my', 'issue', 'quickly', '.']","['outstanding', 'customer', 'service', '.', 'resolved', 'issue', 'quickly', '.']","['outstanding', 'customer', 'service', '.', 'resolved', 'issue', 'quickly', '.']",outstanding customer service . resolved issue quickly .
FB1064,CUST4673,Product A,Features,Very happy with my purchase. Great product!,4,Positive,91,2024-01-22,North,New,very happy with my purchase. great product!,"['very', 'happy', 'with', 'my', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']","['happy', 'purchase', '.', 'great', 'product', '!']",happy purchase . great product !
FB1065,CUST3068,Product D,Features,Excellent product! Really satisfied with the quality and service.,4,Positive,87,2024-07-10,North,Premium,excellent product! really satisfied with the quality and service.,"['excellent', 'product', '!', 'really', 'satisfied', 'with', 'the', 'quality', 'and', 'service', '.']","['excellent', 'product', '!', 'really', 'satisfied', 'quality', 'service', '.']","['excellent', 'product', '!', 'really', 'satisfied', 'quality', 'service', '.']",excellent product ! really satisfied quality service .
FB1066,CUST2876,Product B,Delivery,The delivery was fast and the product is exactly as described.,5,Positive,85,2024-06-10,North,Premium,the delivery was fast and the product is exactly as described.,"['the', 'delivery', 'was', 'fast', 'and', 'the', 'product', 'is', 'exactly', 'as', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']","['delivery', 'fast', 'product', 'exactly', 'described', '.']",delivery fast product exactly described .
FB1067,CUST7498,Product B,Product Quality,Acceptable product but room for improvement in several areas.,3,Neutral,62,2023-11-26,South,New,acceptable product but room for improvement in several areas.,"['acceptable', 'product', 'but', 'room', 'for', 'improvement', 'in', 'several', 'areas', '.']","['acceptable', 'product', 'room', 'improvement', 'several', 'areas', '.']","['acceptable', 'product', 'room', 'improvement', 'several', 'area', '.']",acceptable product room improvement several area .
FB1068,CUST1672,Product C,User Experience,The product quality is subpar and doesn't meet expectations.,1,Negative,35,2025-10-13,West,Premium,the product quality is subpar and doesnt meet expectations.,"['the', 'product', 'quality', 'is', 'subpar', 'and', 'doesnt', 'meet', 'expectations', '.']","['product', 'quality', 'subpar', 'doesnt', 'meet', 'expectations', '.']","['product', 'quality', 'subpar', 'doesnt', 'meet', 'expectation', '.']",product quality subpar doesnt meet expectation .
