feedback_id,customer_id,product,category,feedback_text,rating,sentiment,satisfaction_score,date,region,customer_type
FB1028,CUST8811,Product E,User Experience,I love this product! It's exactly what I needed.,4,Positive,81,2025-05-08,South,New
FB1029,CUST2113,Product B,Pricing,Great value for money. Highly recommend to everyone!,4,Positive,99,2025-04-03,North,Premium
FB1030,CUST9565,Product C,Delivery,Very disappointed with the product quality. Not worth the price.,1,Negative,23,2024-07-09,South,Premium
FB1031,CUST5915,Product D,Delivery,Five stars! The quality is superb and the price is reasonable.,4,Positive,100,2024-09-16,North,New
FB1032,CUST9808,Product B,User Experience,The product quality is subpar and doesn't meet expectations.,1,Negative,12,2025-02-11,East,New
FB1033,CUST5669,Product B,Pricing,The product meets basic expectations but nothing more.,3,Neutral,61,2024-10-22,East,Premium
FB1034,CUST2697,Product B,Delivery,Complete waste of money. Very unsatisfied.,2,Negative,39,2025-08-30,North,New
FB1035,CUST4335,Product C,User Experience,The delivery was fast and the product is exactly as described.,4,Positive,90,2025-05-19,West,Returning
FB1036,CUST1058,Product C,Customer Service,Five stars! The quality is superb and the price is reasonable.,5,Positive,81,2023-12-22,East,New
FB1037,CUST2232,Product B,User Experience,Bad experience. The product arrived late and broken.,1,Negative,13,2025-01-25,North,Returning
FB1038,CUST6050,Product C,Product Quality,Bad experience. The product arrived late and broken.,1,Negative,11,2025-06-18,East,New
FB1039,CUST7658,Product E,Features,Amazing experience! The product exceeded my expectations.,5,Positive,97,2025-09-28,South,New
FB1040,CUST1406,Product B,Features,It's decent but could be better. Price is fair.,3,Neutral,63,2024-04-14,East,Returning
FB1041,CUST3608,Product A,Pricing,The product meets basic expectations but nothing more.,3,Neutral,58,2025-09-15,North,Returning
FB1042,CUST4728,Product B,Product Quality,Fantastic! Will definitely order again.,5,Positive,89,2024-06-14,South,Returning
FB1043,CUST9346,Product D,Features,Amazing experience! The product exceeded my expectations.,5,Positive,91,2024-10-01,East,New
FB1044,CUST5349,Product A,Product Quality,Neutral feelings about this. It works but not impressive.,3,Neutral,55,2024-02-26,West,Returning
FB1045,CUST4114,Product C,Product Quality,Very happy with my purchase. Great product!,4,Positive,92,2024-09-16,West,New
FB1046,CUST6967,Product D,Product Quality,"Mixed feelings. Some aspects are good, others need improvement.",3,Neutral,56,2025-04-15,East,Premium
FB1047,CUST6067,Product D,Delivery,Poor customer service. They didn't respond to my complaints.,2,Negative,26,2024-09-16,West,Premium
FB1048,CUST7211,Product B,User Experience,Terrible experience. The product doesn't work as advertised.,2,Negative,31,2024-08-28,East,Returning
FB1049,CUST4443,Product D,User Experience,Neutral feelings about this. It works but not impressive.,3,Neutral,59,2025-05-14,East,Returning
FB1050,CUST2389,Product C,User Experience,Outstanding customer service. They resolved my issue quickly.,5,Positive,85,2025-01-25,East,New
FB1051,CUST1400,Product A,Customer Service,Terrible experience. The product doesn't work as advertised.,1,Negative,14,2024-06-27,West,Premium
FB1052,CUST9099,Product D,Customer Service,The team was very helpful and professional.,4,Positive,92,2024-01-13,South,Premium
FB1053,CUST3881,Product E,Pricing,Amazing experience! The product exceeded my expectations.,5,Positive,87,2025-10-04,North,Premium
FB1054,CUST3184,Product D,Features,"Average experience. Some features work well, others don't.",3,Neutral,64,2024-07-12,East,Returning
FB1055,CUST9976,Product D,Customer Service,"Mixed feelings. Some aspects are good, others need improvement.",3,Neutral,63,2025-07-19,West,Returning
FB1056,CUST4919,Product C,Pricing,Overpriced and low quality. Would not recommend.,2,Negative,30,2024-07-22,North,Premium
FB1057,CUST2320,Product B,Customer Service,I love this product! It's exactly what I needed.,5,Positive,97,2024-08-18,South,Returning
FB1058,CUST7678,Product C,User Experience,Outstanding customer service. They resolved my issue quickly.,4,Positive,93,2025-10-10,West,Returning
FB1059,CUST1320,Product E,Pricing,Five stars! The quality is superb and the price is reasonable.,5,Positive,98,2024-01-02,West,New
FB1060,CUST9947,Product E,Customer Service,Five stars! The quality is superb and the price is reasonable.,5,Positive,97,2024-10-25,West,New
FB1061,CUST7624,Product B,Pricing,Excellent product! Really satisfied with the quality and service.,5,Positive,90,2024-08-05,South,Premium
FB1062,CUST8022,Product B,Pricing,Five stars! The quality is superb and the price is reasonable.,4,Positive,82,2025-04-29,South,New
FB1063,CUST6529,Product D,Delivery,Outstanding customer service. They resolved my issue quickly.,5,Positive,90,2024-07-23,West,Returning
FB1064,CUST4673,Product A,Features,Very happy with my purchase. Great product!,4,Positive,91,2024-01-22,North,New
FB1065,CUST3068,Product D,Features,Excellent product! Really satisfied with the quality and service.,4,Positive,87,2024-07-10,North,Premium
FB1066,CUST2876,Product B,Delivery,The delivery was fast and the product is exactly as described.,5,Positive,85,2024-06-10,North,Premium
FB1067,CUST7498,Product B,Product Quality,Acceptable product but room for improvement in several areas.,3,Neutral,62,2023-11-26,South,New
FB1068,CUST1672,Product C,User Experience,The product quality is subpar and doesn't meet expectations.,1,Negative,35,2025-10-13,West,Premium
FB1069,CUST9031,Product A,Pricing,I love this product! It's exactly what I needed.,4,Positive,93,2024-11-13,East,Premium
FB1070,CUST9548,Product C,User Experience,Bad experience. The product arrived late and broken.,1,Negative,33,2025-02-12,West,Returning
FB1071,CUST6280,Product B,Product Quality,Acceptable product but room for improvement in several areas.,3,Neutral,58,2025-01-19,East,Returning
FB1072,CUST1470,Product D,Delivery,The product quality is subpar and doesn't meet expectations.,2,Negative,20,2024-07-06,South,Returning
FB1073,CUST5526,Product E,Product Quality,The delivery was fast and the product is exactly as described.,5,Positive,88,2024-06-04,South,New
FB1074,CUST8800,Product D,Pricing,Customer support is unhelpful and rude.,1,Negative,32,2024-07-04,North,New
FB1075,CUST7046,Product D,User Experience,Outstanding customer service. They resolved my issue quickly.,5,Positive,98,2024-08-27,East,Returning
FB1076,CUST5118,Product B,Product Quality,Fantastic! Will definitely order again.,5,Positive,89,2025-05-16,South,Returning
FB1077,CUST8933,Product C,Features,The delivery took too long and the product was damaged.,1,Negative,16,2024-03-01,East,New
FB1078,CUST1231,Product E,Customer Service,I love this product! It's exactly what I needed.,4,Positive,89,2024-05-16,East,New
FB1079,CUST1200,Product E,Delivery,The delivery took too long and the product was damaged.,2,Negative,13,2023-12-25,West,Returning
FB1080,CUST2869,Product A,Pricing,Excellent product! Really satisfied with the quality and service.,5,Positive,95,2025-01-24,West,New
FB1081,CUST5978,Product A,Customer Service,Very disappointed with the product quality. Not worth the price.,1,Negative,14,2025-06-12,North,Premium
FB1082,CUST9561,Product D,Pricing,The product quality is subpar and doesn't meet expectations.,1,Negative,34,2024-12-30,West,Returning
FB1083,CUST1986,Product E,Features,Neutral feelings about this. It works but not impressive.,3,Neutral,68,2025-06-24,North,New
FB1084,CUST3847,Product E,Product Quality,Amazing experience! The product exceeded my expectations.,4,Positive,87,2025-08-01,South,New
FB1085,CUST1534,Product B,Delivery,The team was very helpful and professional.,5,Positive,89,2024-12-22,East,Premium
FB1086,CUST4241,Product D,Product Quality,Outstanding customer service. They resolved my issue quickly.,5,Positive,100,2025-02-06,South,Premium
FB1087,CUST1977,Product B,Delivery,It's decent but could be better. Price is fair.,3,Neutral,52,2024-03-31,East,Returning
FB1088,CUST9199,Product E,Pricing,The delivery was fast and the product is exactly as described.,5,Positive,88,2024-03-06,West,New
FB1089,CUST5102,Product A,Product Quality,Five stars! The quality is superb and the price is reasonable.,5,Positive,99,2025-07-04,South,Premium
FB1090,CUST1659,Product B,Pricing,Very disappointed with the product quality. Not worth the price.,2,Negative,28,2025-06-11,West,Returning
FB1091,CUST9056,Product A,Pricing,The experience was okay. Some issues but manageable.,3,Neutral,70,2024-05-03,East,Returning
FB1092,CUST7744,Product D,Delivery,Amazing experience! The product exceeded my expectations.,4,Positive,90,2024-10-06,West,Premium
FB1093,CUST2899,Product D,User Experience,I love this product! It's exactly what I needed.,5,Positive,90,2023-12-07,North,Premium
FB1094,CUST6927,Product E,Pricing,Excellent product! Really satisfied with the quality and service.,4,Positive,96,2025-05-08,West,New
FB1095,CUST8941,Product A,Product Quality,Great value for money. Highly recommend to everyone!,5,Positive,94,2024-05-26,South,Premium
FB1096,CUST4681,Product A,Pricing,Excellent product! Really satisfied with the quality and service.,5,Positive,82,2024-04-10,North,Premium
FB1097,CUST8905,Product D,Customer Service,The delivery was fast and the product is exactly as described.,5,Positive,93,2024-04-05,West,Premium
FB1098,CUST5526,Product D,Delivery,The team was very helpful and professional.,4,Positive,82,2024-03-27,East,New
FB1099,CUST3434,Product D,User Experience,The product quality is subpar and doesn't meet expectations.,2,Negative,37,2024-08-15,West,Returning
FB1100,CUST6272,Product B,Features,Complete waste of money. Very unsatisfied.,2,Negative,24,2024-10-05,South,Premium
FB1101,CUST8749,Product D,Pricing,Five stars! The quality is superb and the price is reasonable.,4,Positive,90,2024-11-26,South,Returning
FB1102,CUST8213,Product A,User Experience,The team was very helpful and professional.,5,Positive,83,2023-12-07,West,New
FB1103,CUST5342,Product C,User Experience,Great value for money. Highly recommend to everyone!,4,Positive,95,2024-03-26,West,Premium
FB1104,CUST6188,Product D,User Experience,"Mixed feelings. Some aspects are good, others need improvement.",3,Neutral,62,2024-01-21,North,Premium
FB1105,CUST8110,Product A,Features,The delivery was fast and the product is exactly as described.,4,Positive,82,2024-01-09,North,Returning
FB1106,CUST1919,Product C,Delivery,Very disappointed with the product quality. Not worth the price.,1,Negative,20,2024-04-18,East,Returning
FB1107,CUST3868,Product A,User Experience,Five stars! The quality is superb and the price is reasonable.,4,Positive,85,2024-03-28,West,Premium
FB1108,CUST8555,Product C,Pricing,The team was very helpful and professional.,4,Positive,87,2025-09-29,East,Premium
FB1109,CUST9955,Product B,Product Quality,"It's fine, works as expected but nothing exceptional.",3,Neutral,59,2023-11-09,West,Returning
FB1110,CUST5949,Product B,Pricing,Five stars! The quality is superb and the price is reasonable.,5,Positive,94,2025-06-23,West,New
FB1111,CUST1359,Product D,Delivery,I love this product! It's exactly what I needed.,5,Positive,89,2024-06-29,North,Premium
FB1112,CUST5689,Product B,User Experience,Very disappointed with the product quality. Not worth the price.,2,Negative,36,2025-10-02,East,New
FB1113,CUST2591,Product A,Delivery,The delivery was fast and the product is exactly as described.,4,Positive,100,2025-08-12,West,New
FB1114,CUST6352,Product D,Customer Service,Great value for money. Highly recommend to everyone!,4,Positive,89,2025-06-15,South,New
FB1115,CUST9221,Product C,Customer Service,Average quality for the price. Neither good nor bad.,3,Neutral,66,2025-05-05,East,Returning
FB1116,CUST2233,Product B,Customer Service,The features are missing and the interface is confusing.,1,Negative,24,2024-08-28,West,Premium
FB1117,CUST9791,Product A,Pricing,Five stars! The quality is superb and the price is reasonable.,4,Positive,88,2024-11-08,East,Premium
FB1118,CUST4830,Product D,Product Quality,Five stars! The quality is superb and the price is reasonable.,5,Positive,83,2025-09-18,East,Premium
FB1119,CUST7689,Product A,Customer Service,Customer support is unhelpful and rude.,2,Negative,30,2024-06-13,North,New
FB1120,CUST4846,Product E,Customer Service,"Average experience. Some features work well, others don't.",3,Neutral,53,2024-09-06,West,Returning
FB1121,CUST3531,Product D,Features,Complete waste of money. Very unsatisfied.,2,Negative,28,2024-11-13,North,Returning
FB1122,CUST4559,Product D,Pricing,The delivery was fast and the product is exactly as described.,4,Positive,91,2025-07-22,South,Returning
FB1123,CUST6876,Product A,Pricing,Average quality for the price. Neither good nor bad.,3,Neutral,67,2024-02-09,East,New
FB1124,CUST4475,Product E,Product Quality,"It's fine, works as expected but nothing exceptional.",3,Neutral,52,2024-03-04,North,Returning
FB1125,CUST2124,Product E,Customer Service,Acceptable product but room for improvement in several areas.,3,Neutral,56,2024-07-06,South,New
FB1126,CUST3370,Product B,User Experience,The product quality is subpar and doesn't meet expectations.,1,Negative,18,2024-10-01,East,New
FB1127,CUST6869,Product B,User Experience,Very disappointed with the product quality. Not worth the price.,1,Negative,10,2024-02-20,East,New
FB1128,CUST2862,Product A,Pricing,Great value for money. Highly recommend to everyone!,5,Positive,96,2024-04-26,West,Returning
FB1129,CUST1710,Product E,Delivery,Customer support is unhelpful and rude.,1,Negative,40,2025-04-08,West,Premium
FB1130,CUST2768,Product D,Features,Fantastic! Will definitely order again.,5,Positive,93,2023-12-01,West,New
FB1131,CUST5505,Product E,Features,Great value for money. Highly recommend to everyone!,4,Positive,84,2024-01-21,East,Returning
FB1132,CUST2874,Product E,Features,Customer support is unhelpful and rude.,2,Negative,13,2025-07-03,South,Returning
FB1133,CUST8430,Product D,Pricing,The experience was okay. Some issues but manageable.,3,Neutral,60,2025-02-04,North,Returning
FB1134,CUST8770,Product A,Product Quality,The delivery was fast and the product is exactly as described.,5,Positive,84,2025-01-10,North,New
FB1135,CUST1982,Product E,User Experience,I love this product! It's exactly what I needed.,4,Positive,97,2025-01-15,East,Premium
FB1136,CUST6119,Product C,Product Quality,Five stars! The quality is superb and the price is reasonable.,4,Positive,89,2024-03-04,South,New
FB1137,CUST7022,Product A,Delivery,Amazing experience! The product exceeded my expectations.,5,Positive,97,2025-09-02,South,Returning
FB1138,CUST1430,Product E,Features,Acceptable product but room for improvement in several areas.,3,Neutral,69,2025-05-27,East,New
FB1139,CUST1100,Product B,Customer Service,The delivery was fast and the product is exactly as described.,5,Positive,91,2024-05-02,West,New
FB1140,CUST9691,Product B,Pricing,Very disappointed with the product quality. Not worth the price.,1,Negative,33,2024-03-24,West,Returning
FB1141,CUST2391,Product A,Customer Service,The delivery was fast and the product is exactly as described.,5,Positive,98,2024-10-14,South,Premium
FB1142,CUST7947,Product D,User Experience,Overpriced and low quality. Would not recommend.,2,Negative,31,2023-12-20,West,Returning
FB1143,CUST8043,Product A,Delivery,Very happy with my purchase. Great product!,4,Positive,91,2024-08-05,West,Premium
FB1144,CUST1897,Product A,Customer Service,Outstanding customer service. They resolved my issue quickly.,5,Positive,99,2025-09-13,East,New
FB1145,CUST1126,Product D,Features,Overpriced and low quality. Would not recommend.,2,Negative,13,2024-03-19,West,New
FB1146,CUST7505,Product A,Pricing,Outstanding customer service. They resolved my issue quickly.,5,Positive,82,2024-03-11,North,Returning
FB1147,CUST7626,Product D,Delivery,Acceptable product but room for improvement in several areas.,3,Neutral,63,2024-01-18,North,Returning
FB1148,CUST8538,Product C,Product Quality,It's decent but could be better. Price is fair.,3,Neutral,69,2023-11-21,West,New
FB1149,CUST6083,Product C,Customer Service,Five stars! The quality is superb and the price is reasonable.,4,Positive,92,2024-07-06,East,New
FB1150,CUST6724,Product C,Features,Poor customer service. They didn't respond to my complaints.,1,Negative,38,2024-01-17,South,New
FB1151,CUST3504,Product A,Customer Service,Outstanding customer service. They resolved my issue quickly.,4,Positive,99,2024-02-13,West,Returning
FB1152,CUST6179,Product B,Pricing,Customer support is unhelpful and rude.,2,Negative,37,2025-05-30,North,Returning
FB1153,CUST9312,Product A,Delivery,Overpriced and low quality. Would not recommend.,1,Negative,21,2025-01-25,West,Returning
FB1154,CUST2479,Product E,User Experience,The delivery was fast and the product is exactly as described.,4,Positive,100,2023-12-08,West,Returning
FB1155,CUST4084,Product C,User Experience,Very disappointed with the product quality. Not worth the price.,2,Negative,39,2025-06-16,West,Premium
FB1156,CUST6626,Product A,User Experience,"It's fine, works as expected but nothing exceptional.",3,Neutral,53,2024-04-02,South,New
FB1157,CUST7108,Product C,Pricing,Customer support is unhelpful and rude.,1,Negative,21,2024-07-10,West,Returning
FB1158,CUST2548,Product E,Features,The features are missing and the interface is confusing.,1,Negative,20,2025-09-25,West,Returning
FB1159,CUST2335,Product E,Features,The product quality is subpar and doesn't meet expectations.,1,Negative,20,2024-07-15,South,Returning
FB1160,CUST2388,Product C,User Experience,The experience was okay. Some issues but manageable.,3,Neutral,54,2024-09-12,West,Premium
FB1161,CUST7937,Product E,Delivery,"Mixed feelings. Some aspects are good, others need improvement.",3,Neutral,52,2024-10-01,North,Returning
FB1162,CUST4145,Product B,Customer Service,Outstanding customer service. They resolved my issue quickly.,5,Positive,95,2024-09-11,South,New
FB1163,CUST9843,Product E,Product Quality,"Average experience. Some features work well, others don't.",3,Neutral,66,2024-08-28,East,Premium
FB1164,CUST3712,Product D,Product Quality,The delivery took too long and the product was damaged.,1,Negative,15,2024-03-13,West,Returning
FB1165,CUST8355,Product B,User Experience,Customer support is unhelpful and rude.,2,Negative,34,2025-09-22,South,Returning
FB1166,CUST8218,Product D,Delivery,The product meets basic expectations but nothing more.,3,Neutral,61,2025-02-22,West,Premium
FB1167,CUST3267,Product C,Product Quality,Great value for money. Highly recommend to everyone!,4,Positive,99,2025-04-23,West,Returning
FB1168,CUST5670,Product A,Customer Service,"Mixed feelings. Some aspects are good, others need improvement.",3,Neutral,53,2025-05-20,East,Returning
FB1169,CUST8391,Product C,Product Quality,Five stars! The quality is superb and the price is reasonable.,4,Positive,87,2025-04-08,West,New
FB1170,CUST7142,Product B,Product Quality,Terrible experience. The product doesn't work as advertised.,2,Negative,12,2024-12-09,East,New
FB1171,CUST5700,Product D,Features,Great value for money. Highly recommend to everyone!,4,Positive,81,2025-08-26,South,Premium
FB1172,CUST5193,Product B,Customer Service,Excellent product! Really satisfied with the quality and service.,4,Positive,80,2025-02-22,West,New
FB1173,CUST7878,Product E,Pricing,Amazing experience! The product exceeded my expectations.,4,Positive,87,2024-08-21,North,New
FB1174,CUST3352,Product C,Pricing,Very disappointed with the product quality. Not worth the price.,1,Negative,32,2025-03-25,North,Premium
FB1175,CUST9576,Product C,Product Quality,Five stars! The quality is superb and the price is reasonable.,4,Positive,82,2024-10-26,North,Returning
FB1176,CUST1266,Product C,Product Quality,Five stars! The quality is superb and the price is reasonable.,5,Positive,88,2025-02-23,East,New
FB1177,CUST1726,Product C,User Experience,The product quality is subpar and doesn't meet expectations.,2,Negative,14,2025-09-02,East,Premium
FB1178,CUST3986,Product B,Product Quality,"It's fine, works as expected but nothing exceptional.",3,Neutral,65,2024-04-27,West,New
FB1179,CUST6080,Product E,Pricing,Outstanding customer service. They resolved my issue quickly.,4,Positive,90,2024-08-26,West,Returning
FB1180,CUST1783,Product C,Delivery,Terrible experience. The product doesn't work as advertised.,2,Negative,21,2023-12-07,North,Returning
FB1181,CUST6554,Product B,Pricing,"It's fine, works as expected but nothing exceptional.",3,Neutral,62,2025-01-20,West,Returning
FB1182,CUST8055,Product E,Customer Service,Amazing experience! The product exceeded my expectations.,5,Positive,82,2025-04-14,East,Returning
FB1183,CUST7981,Product B,Features,The delivery was fast and the product is exactly as described.,5,Positive,94,2024-02-13,West,Returning
FB1184,CUST1939,Product A,Features,I love this product! It's exactly what I needed.,5,Positive,88,2025-01-30,West,Returning
FB1185,CUST3339,Product E,Features,It's decent but could be better. Price is fair.,3,Neutral,50,2025-04-08,West,New
FB1186,CUST1530,Product E,Customer Service,I love this product! It's exactly what I needed.,5,Positive,92,2024-03-08,West,Returning
FB1187,CUST7012,Product D,Delivery,Amazing experience! The product exceeded my expectations.,4,Positive,96,2024-11-14,East,New
FB1188,CUST7340,Product E,Product Quality,Great value for money. Highly recommend to everyone!,5,Positive,96,2024-02-24,East,Returning
FB1189,CUST4279,Product A,Customer Service,The team was very helpful and professional.,5,Positive,95,2025-10-20,North,Returning
FB1190,CUST6236,Product C,Features,"It's fine, works as expected but nothing exceptional.",3,Neutral,52,2024-04-24,North,Premium
FB1191,CUST3852,Product C,User Experience,The delivery was fast and the product is exactly as described.,4,Positive,100,2025-05-08,South,New
FB1192,CUST6912,Product E,User Experience,Terrible experience. The product doesn't work as advertised.,2,Negative,10,2024-05-23,East,Returning
FB1193,CUST7523,Product D,User Experience,Amazing experience! The product exceeded my expectations.,4,Positive,89,2025-05-17,West,Returning
FB1194,CUST8632,Product E,Delivery,I love this product! It's exactly what I needed.,4,Positive,94,2025-06-10,South,Premium
FB1195,CUST1907,Product A,User Experience,The delivery took too long and the product was damaged.,2,Negative,26,2025-08-16,South,Returning
FB1196,CUST5653,Product A,Delivery,Outstanding customer service. They resolved my issue quickly.,5,Positive,96,2024-04-16,South,Premium
FB1197,CUST3762,Product E,User Experience,The delivery was fast and the product is exactly as described.,4,Positive,96,2025-05-17,South,New
FB1198,CUST1674,Product A,Product Quality,The product quality is subpar and doesn't meet expectations.,2,Negative,36,2025-09-04,North,Premium
FB1199,CUST1496,Product D,Features,Outstanding customer service. They resolved my issue quickly.,5,Positive,99,2025-06-12,East,Premium
FB1200,CUST2195,Product A,Customer Service,Five stars! The quality is superb and the price is reasonable.,5,Positive,94,2024-09-04,West,Returning
FB1201,CUST6231,Product C,Pricing,I love this product! It's exactly what I needed.,4,Positive,90,2025-03-09,South,Returning
FB1202,CUST3007,Product C,Pricing,The features are missing and the interface is confusing.,1,Negative,24,2025-04-10,South,New
FB1203,CUST3616,Product C,User Experience,Five stars! The quality is superb and the price is reasonable.,5,Positive,87,2024-02-07,East,New
FB1204,CUST6055,Product D,Product Quality,Very happy with my purchase. Great product!,5,Positive,95,2024-04-11,North,Returning
FB1205,CUST6781,Product A,Product Quality,Outstanding customer service. They resolved my issue quickly.,4,Positive,98,2025-03-31,East,Returning
FB1206,CUST9793,Product A,Product Quality,"It's fine, works as expected but nothing exceptional.",3,Neutral,59,2025-07-03,West,New
FB1207,CUST7563,Product A,User Experience,Bad experience. The product arrived late and broken.,2,Negative,11,2024-07-27,South,Returning
FB1208,CUST5582,Product E,Features,Five stars! The quality is superb and the price is reasonable.,5,Positive,97,2025-05-19,North,New
FB1209,CUST4261,Product E,User Experience,I love this product! It's exactly what I needed.,5,Positive,84,2024-02-07,West,Premium
FB1210,CUST9508,Product D,Customer Service,Great value for money. Highly recommend to everyone!,5,Positive,95,2023-12-11,South,Returning
FB1211,CUST6511,Product E,User Experience,Five stars! The quality is superb and the price is reasonable.,5,Positive,98,2025-07-19,West,Premium
FB1212,CUST2795,Product D,User Experience,Excellent product! Really satisfied with the quality and service.,5,Positive,90,2025-05-29,East,Premium
FB1213,CUST4728,Product A,User Experience,The product quality is subpar and doesn't meet expectations.,2,Negative,18,2025-10-04,West,New
FB1214,CUST4968,Product A,User Experience,The product quality is subpar and doesn't meet expectations.,2,Negative,14,2025-04-19,North,New
FB1215,CUST4340,Product D,User Experience,Five stars! The quality is superb and the price is reasonable.,4,Positive,93,2023-11-19,West,Premium
FB1216,CUST6325,Product D,User Experience,Complete waste of money. Very unsatisfied.,1,Negative,27,2024-01-02,West,Returning
FB1217,CUST6804,Product C,User Experience,Very happy with my purchase. Great product!,5,Positive,97,2024-04-25,West,New
FB1218,CUST5735,Product B,Features,The delivery was fast and the product is exactly as described.,4,Positive,89,2024-07-09,West,Returning
FB1219,CUST9899,Product D,Pricing,The delivery was fast and the product is exactly as described.,5,Positive,83,2025-03-05,East,New
FB1220,CUST5201,Product D,Customer Service,Amazing experience! The product exceeded my expectations.,5,Positive,94,2024-08-23,South,Premium
FB1221,CUST2789,Product E,Features,Neutral feelings about this. It works but not impressive.,3,Neutral,54,2024-08-03,South,New
FB1222,CUST4814,Product A,Product Quality,Complete waste of money. Very unsatisfied.,1,Negative,30,2023-12-21,West,Returning
FB1223,CUST3587,Product D,Features,Great value for money. Highly recommend to everyone!,4,Positive,97,2025-02-25,West,Returning
FB1224,CUST1969,Product A,Features,The delivery was fast and the product is exactly as described.,5,Positive,89,2025-08-27,South,Premium
FB1225,CUST3880,Product A,Pricing,It's decent but could be better. Price is fair.,3,Neutral,63,2023-12-08,West,New
FB1226,CUST2758,Product C,Delivery,"The product is okay, nothing special but does the job.",3,Neutral,59,2024-08-22,West,Premium
FB1227,CUST4159,Product A,Delivery,The delivery took too long and the product was damaged.,2,Negative,18,2025-05-09,South,Premium
FB1228,CUST6523,Product C,User Experience,The delivery took too long and the product was damaged.,1,Negative,33,2025-02-11,South,New
FB1229,CUST9442,Product C,Product Quality,The experience was okay. Some issues but manageable.,3,Neutral,63,2025-07-17,West,Premium
FB1230,CUST5064,Product A,Delivery,Great value for money. Highly recommend to everyone!,5,Positive,90,2024-02-05,West,New
FB1231,CUST1187,Product C,Features,The features are missing and the interface is confusing.,2,Negative,28,2025-01-30,East,Premium
FB1232,CUST3616,Product D,Features,Amazing experience! The product exceeded my expectations.,5,Positive,89,2024-06-28,East,Premium
FB1233,CUST4618,Product B,Customer Service,Overpriced and low quality. Would not recommend.,2,Negative,29,2024-02-28,West,New
FB1234,CUST9998,Product D,User Experience,The product quality is subpar and doesn't meet expectations.,2,Negative,23,2025-02-07,South,New
FB1235,CUST6927,Product A,User Experience,Poor customer service. They didn't respond to my complaints.,2,Negative,26,2025-09-26,North,New
